name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Porto,2018-01-01T00:00:00,9.6,8.3,8.6,93.41,0,,,,,,9,202,1032.8,44.3,9.8,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T01:00:00,8.7,7.1,7.7,92.92,0,,,,,,10.4,128,1033.2,46.2,8.9,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T02:00:00,8.7,6.8,7.7,93.5,0,,,,,,12,120,1032.8,46.2,9.8,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T03:00:00,7.8,5.9,6.9,93.92,0,,,,,,10.9,133,1032.7,79.9,9.9,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T04:00:00,9.6,7.5,8.6,93.67,0,,,,,,14.1,185,1033,81.8,8.1,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T05:00:00,10.6,10.6,9.6,93.56,0,,,,,,12.6,218,1032.7,81.8,9.1,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T06:00:00,10.7,10.7,9.7,93.54,0,,,,0,,17.3,183,1032.8,80.8,8.2,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T07:00:00,11.6,11.6,10.5,93,0,,,,,,17.6,190,1032.9,81.8,7.3,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T08:00:00,10.9,10.9,10.9,99.74,0.2,,,,,,18.1,192,1033.2,85,5,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T09:00:00,12.6,12.6,11.7,93.87,9.3,,,,,,14.6,218,1033.6,85.4,3.6,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T10:00:00,13.6,13.6,11.7,88.53,0.07,,,,,,16,219,1033.9,85.4,9.7,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T11:00:00,13.7,13.7,11.8,88.53,0.3,,,,,,14.5,223,1034.1,85.4,9.9,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T12:00:00,13.9,13.9,12.8,93.23,0.11,,,,,,11.1,232,1033.9,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T13:00:00,14.8,14.8,11.9,82.71,0.36,,,,,,12.7,242,1033.5,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T14:00:00,14.9,14.9,12.9,88.06,0.2,,,,,,11,242,1033,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T15:00:00,14.9,14.9,11.1,78.28,0.1,,,,,,10.8,260,1032.7,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T16:00:00,14.9,14.9,12,83.05,0.2,,,,,,8.6,225,1032.7,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T17:00:00,13.9,13.9,12,88.34,0,,,,,,9.4,223,1032.7,77.2,8.3,,,0,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T18:00:00,13.9,13.9,11,82.77,,,,,,,8.9,245,1033.2,85.4,9.8,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T19:00:00,13.8,13.8,11,83.34,0,,,,,,8.9,234,1033.7,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T20:00:00,13.8,13.8,11,83.3,0,,,,,,7.7,215,1034,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T21:00:00,13.8,13.8,11.8,87.91,0,,,,,,9.2,221,1034.2,84.5,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-01T22:00:00,13.8,13.8,11,83.45,0,,,,,,10.5,243,1034.3,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-01T23:00:00,13.7,13.7,11.8,88.39,0,,,,,,13.8,221,1034.3,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T00:00:00,13.8,13.8,11.9,88.38,0,,,,,,14.5,211,1034.3,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T01:00:00,13.8,13.8,11.9,88.39,0,,,,,,15.8,221,1033.8,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T02:00:00,13.8,13.8,12.8,93.55,0,,,,,,17.1,220,1033.5,85.4,10,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T03:00:00,12.9,12.9,11.9,93.39,0.1,,,,,,15.9,210,1033.6,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T04:00:00,12.9,12.9,11.9,93.71,0.69,,,,,,12.4,202,1033.2,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T05:00:00,13.8,13.8,11.9,88.63,0.33,,,,,,17.1,204,1032.9,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T06:00:00,13.8,13.8,12.8,93.74,0.49,,,,0,,14.3,201,1033,85.4,10,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T07:00:00,13.8,13.8,12.8,93.86,1.01,,,,,,12.6,194,1033.2,85.4,6.4,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T08:00:00,12.9,12.9,12.8,99.33,0.56,,,,,,17.4,193,1033.5,85.4,5.2,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T09:00:00,12.9,12.9,12.8,99.24,,,,,,,21.1,200,1034.1,88.3,5.8,,,0,,Partially cloudy,partly-cloudy-day,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T10:00:00,13.8,13.8,12.9,94.45,0.2,,,,,,19.5,201,1034.1,85.4,2.9,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T11:00:00,13.9,13.9,13,93.89,0.72,,,,,,17.8,192,1034.3,86.5,1.1,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T12:00:00,13.9,13.9,13.9,99.81,5.44,,,,,,20,211,1034.1,89.3,1.2,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T13:00:00,14,14,13.9,99.97,0.56,,,,,,16.3,220,1033,85.4,1.3,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T14:00:00,14,14,14,99.61,0.39,,,,,,14.5,229,1032.6,95.1,4.9,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T15:00:00,14.9,14.9,14,94.13,0.8,,,,,,13,213,1032.7,88.3,5.9,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T16:00:00,14.9,14.9,13.9,93.88,0.7,,,,,,12.7,202,1032.8,85.4,4.7,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T17:00:00,14.9,14.9,14,93.96,0.76,,,,,,14.1,213,1033.2,85.4,3,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T18:00:00,14.9,14.9,14.8,99.81,0.89,,,,,,14.1,212,1033.5,88.3,5,,,0,,"Rain, Partially cloudy",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T19:00:00,14.9,14.9,14,93.98,0.4,,,,,,15.9,222,1033.6,85.4,4.3,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T20:00:00,14.9,14.9,14,93.98,0.17,,,,,,14.2,213,1033.7,85.4,3.2,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T21:00:00,14.9,14.9,14,94.34,,,,,,,14.5,212,1033.6,86.4,2.4,,,0,,Partially cloudy,partly-cloudy-night,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-02T22:00:00,14.9,14.9,14.8,99.41,0.05,,,,,,14.4,213,1033.6,95.1,3.3,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-02T23:00:00,14.9,14.9,14.8,99.41,0.25,,,,,,12.7,222,1033.6,95.1,2.5,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T00:00:00,14,14,14,99.52,0.84,,,,,,12.9,223,1033.7,96,6.7,,,0,,"Rain, Overcast",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-03T01:00:00,14.9,14.9,14,93.94,0.13,,,,,,11,215,1033.6,95.1,7.1,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T02:00:00,14.9,14.9,14,93.93,0.34,,,,,,9.4,221,1033.4,85.4,4.4,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T03:00:00,14.9,14.9,14.9,99.8,0.36,,,,,,11.2,213,1033.5,96,7,,,0,,"Rain, Overcast",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-03T04:00:00,14.9,14.9,14.9,99.97,0.31,,,,,,12.7,223,1033.2,95.1,3.1,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T05:00:00,14.9,14.9,14.8,99.48,0.05,,,,,,14.3,216,1033.1,95.1,3.3,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T06:00:00,14.9,14.9,14.9,99.78,0.39,,,,0,,7.8,225,1032.9,96,4.9,,,0,,"Rain, Overcast",rain,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
Porto,2018-01-03T07:00:00,14.9,14.9,14,93.96,0.05,,,,,,7.5,234,1033.3,95.1,3,,,0,,"Rain, Overcast",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T08:00:00,14.9,14.9,14.9,99.98,0.53,,,,,,9.2,222,1033.8,86.4,2,,,0,,"Rain, Partially cloudy",rain,"08551099999,LPPR,08558199999,08545099999,08567099999,08560099999"
Porto,2018-01-03T09:00:00,14.9,14.9,14.9,99.8,,,,,,,10.7,231,1034.2,88.3,2,,,0,,Partially cloudy,partly-cloudy-day,"08551099999,08544099999,LPPR,08545099999,08567099999,08560099999"
